Attraction_Name,Nearby_Place,Distance_KM,Category,Rating
Gourmet Point near Artistic Art Village of Jaipur,Artistic Art Village of Jaipur,0.8,Food & Dining,4.6
Handicrafts Cooperative near Artistic Art Village of Jaipur,Artistic Art Village of Jaipur,1.0,Shopping,3.8
Local Market Corner near Artistic Art Village of Jaipur,Artistic Art Village of Jaipur,1.9,Local Market,4.7
Annapurna Point near Jaipur Bustling Flea Market,Jaipur Bustling Flea Market,0.8,Food & Dining,4.4
Ethnic Hub near Jaipur Bustling Flea Market,Jaipur Bustling Flea Market,0.6,Shopping,3.5
Sunset Deck near Jaipur Bustling Flea Market,Jaipur Bustling Flea Market,1.2,Activity,3.7
Annapurna Dhaba near Culinary Jaipur Food Street,Culinary Jaipur Food Street,2.2,Food & Dining,4.4
Ethnic Hub near Culinary Jaipur Food Street,Culinary Jaipur Food Street,0.9,Shopping,4.0
Adventure Cliff near Culinary Jaipur Food Street,Culinary Jaipur Food Street,1.6,Viewpoint,3.8
Gourmet Cafe near Infinity Botanical Conservatory of Jaipur,Infinity Botanical Conservatory of Jaipur,1.9,Food & Dining,3.7
Souvenir Hub near Infinity Botanical Conservatory of Jaipur,Infinity Botanical Conservatory of Jaipur,1.9,Shopping,4.6
Cable Car Station near Infinity Botanical Conservatory of Jaipur,Infinity Botanical Conservatory of Jaipur,0.8,Activity,3.7
Royal Kitchen near Jaipur Mist-Clad Sunset Point,Jaipur Mist-Clad Sunset Point,1.3,Food & Dining,4.6
Artisans Market near Jaipur Mist-Clad Sunset Point,Jaipur Mist-Clad Sunset Point,0.4,Shopping,3.9
Adventure Cliff near Jaipur Mist-Clad Sunset Point,Jaipur Mist-Clad Sunset Point,2.5,Activity,3.7
Chai Villa Spot near Historic Jaipur Ancient Caves,Historic Jaipur Ancient Caves,1.7,Food & Dining,4.0
Handicrafts Hub near Historic Jaipur Ancient Caves,Historic Jaipur Ancient Caves,1.5,Shopping,4.3
Heritage Walk near Historic Jaipur Ancient Caves,Historic Jaipur Ancient Caves,1.0,Activity,4.9
Annapurna Diner near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,0.3,Food & Dining,4.6
Bustling Hub near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,1.9,Shopping,4.0
Transit Corner near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,2.2,Transit,4.8
Laziz Diner near Jaipur Extreme Climbing Wall,Jaipur Extreme Climbing Wall,2.2,Food & Dining,3.6
Traditional Corner near Jaipur Extreme Climbing Wall,Jaipur Extreme Climbing Wall,1.2,Shopping,3.5
Cable Car Station near Jaipur Extreme Climbing Wall,Jaipur Extreme Climbing Wall,2.3,Viewpoint,3.6
Royal Point near Indigenous Jaipur Heritage Craft Complex,Indigenous Jaipur Heritage Craft Complex,0.3,Food & Dining,3.7
Bustling Arcade near Indigenous Jaipur Heritage Craft Complex,Indigenous Jaipur Heritage Craft Complex,0.5,Shopping,4.8
Sunset Deck near Indigenous Jaipur Heritage Craft Complex,Indigenous Jaipur Heritage Craft Complex,2.1,Activity,4.1
Gourmet Kitchen near Vibrant Market of Jaipur,Vibrant Market of Jaipur,1.2,Food & Dining,3.9
Bustling Flea Market near Vibrant Market of Jaipur,Vibrant Market of Jaipur,2.0,Shopping,4.6
Transit Corner near Vibrant Market of Jaipur,Vibrant Market of Jaipur,4.8,Transit,4.7
The Spicy Bakery near Jaipur Delight Spice Lane,Jaipur Delight Spice Lane,0.7,Food & Dining,4.8
Ethnic Cooperative near Jaipur Delight Spice Lane,Jaipur Delight Spice Lane,0.9,Shopping,3.6
Boating Lake near Jaipur Delight Spice Lane,Jaipur Delight Spice Lane,1.1,Viewpoint,4.7
Gourmet Treats near Metro Jaipur Science Arena,Metro Jaipur Science Arena,0.6,Food & Dining,3.8
Bustling Emporium near Metro Jaipur Science Arena,Metro Jaipur Science Arena,1.3,Shopping,3.6
Hiking Point near Metro Jaipur Science Arena,Metro Jaipur Science Arena,3.7,Viewpoint,3.8
The Spicy Dhaba near Serene Falls of Jaipur,Serene Falls of Jaipur,0.5,Food & Dining,3.7
Bustling Bazaar near Serene Falls of Jaipur,Serene Falls of Jaipur,1.4,Shopping,4.0
Transit Corner near Serene Falls of Jaipur,Serene Falls of Jaipur,3.4,Transit,4.3
Royal Kitchen near Jaipur Sovereign Fort,Jaipur Sovereign Fort,0.5,Food & Dining,4.9
Local Arcade near Jaipur Sovereign Fort,Jaipur Sovereign Fort,1.1,Shopping,4.7
Transit Corner near Jaipur Sovereign Fort,Jaipur Sovereign Fort,1.8,Transit,4.7
Chai Villa Cafe near Tranquil Jaipur Temple,Tranquil Jaipur Temple,1.0,Food & Dining,4.6
Artisans Market near Tranquil Jaipur Temple,Tranquil Jaipur Temple,1.2,Shopping,4.0
Sunset Deck near Tranquil Jaipur Temple,Tranquil Jaipur Temple,2.1,Activity,3.8
Chai Villa Treats near Extreme Safari Zone of Jaipur,Extreme Safari Zone of Jaipur,2.1,Food & Dining,3.8
Local Corner near Extreme Safari Zone of Jaipur,Extreme Safari Zone of Jaipur,1.6,Shopping,4.1
Transit Corner near Extreme Safari Zone of Jaipur,Extreme Safari Zone of Jaipur,3.7,Transit,3.7
Bistro Cafe near Jaipur Ethnic Folk Centre,Jaipur Ethnic Folk Centre,1.0,Food & Dining,4.2
Bustling Bazaar near Jaipur Ethnic Folk Centre,Jaipur Ethnic Folk Centre,1.1,Shopping,4.0
Local Market Corner near Jaipur Ethnic Folk Centre,Jaipur Ethnic Folk Centre,4.6,Local Market,4.6
Chai Villa Treats near Central Jaipur Shopping Arcade,Central Jaipur Shopping Arcade,1.8,Food & Dining,4.0
Artisans Corner near Central Jaipur Shopping Arcade,Central Jaipur Shopping Arcade,3.4,Shopping,3.7
Local Market Corner near Central Jaipur Shopping Arcade,Central Jaipur Shopping Arcade,3.1,Local Market,4.3
Bistro Spot near Legacy Gourmet Court of Jaipur,Legacy Gourmet Court of Jaipur,0.7,Food & Dining,3.6
Artisans Bazaar near Legacy Gourmet Court of Jaipur,Legacy Gourmet Court of Jaipur,2.5,Shopping,3.7
Transit Corner near Legacy Gourmet Court of Jaipur,Legacy Gourmet Court of Jaipur,4.5,Transit,3.8
The Spicy Chaat Bhandar near Jaipur Stellar Sky Deck,Jaipur Stellar Sky Deck,0.2,Food & Dining,4.0
Traditional Flea Market near Jaipur Stellar Sky Deck,Jaipur Stellar Sky Deck,3.1,Shopping,4.2
Local Market Corner near Jaipur Stellar Sky Deck,Jaipur Stellar Sky Deck,1.2,Local Market,3.6
Cafe Spot near Silver Jaipur Cave,Silver Jaipur Cave,2.0,Food & Dining,3.9
Ethnic Arcade near Silver Jaipur Cave,Silver Jaipur Cave,0.3,Shopping,4.5
Cable Car Station near Silver Jaipur Cave,Silver Jaipur Cave,3.1,Viewpoint,4.7
Gourmet Chaat Bhandar near Grand Museum of Jaipur,Grand Museum of Jaipur,2.1,Food & Dining,3.5
Central Arcade near Grand Museum of Jaipur,Grand Museum of Jaipur,1.9,Shopping,4.5
Local Market Corner near Grand Museum of Jaipur,Grand Museum of Jaipur,4.8,Local Market,4.5
Annapurna Chaat Bhandar near Jaipur Tranquil Temple,Jaipur Tranquil Temple,0.7,Food & Dining,3.9
Bustling Arcade near Jaipur Tranquil Temple,Jaipur Tranquil Temple,2.7,Shopping,4.1
Transit Corner near Jaipur Tranquil Temple,Jaipur Tranquil Temple,1.5,Transit,4.0
Chai Villa Treats near Extreme Jaipur Trekking Trail,Extreme Jaipur Trekking Trail,1.6,Food & Dining,4.4
Handicrafts Corner near Extreme Jaipur Trekking Trail,Extreme Jaipur Trekking Trail,0.9,Shopping,4.2
Transit Corner near Extreme Jaipur Trekking Trail,Extreme Jaipur Trekking Trail,1.8,Transit,4.3
Desi Cafe near Classical Art Village of Jaipur,Classical Art Village of Jaipur,2.2,Food & Dining,4.2
Handicrafts Hub near Classical Art Village of Jaipur,Classical Art Village of Jaipur,1.9,Shopping,4.3
Transit Corner near Classical Art Village of Jaipur,Classical Art Village of Jaipur,4.5,Transit,4.2
Royal Kitchen near Jaipur Craft Bazaar,Jaipur Craft Bazaar,0.7,Food & Dining,4.6
Ethnic Arcade near Jaipur Craft Bazaar,Jaipur Craft Bazaar,1.9,Shopping,4.2
Transit Corner near Jaipur Craft Bazaar,Jaipur Craft Bazaar,4.7,Transit,4.3
Desi Spot near Flavors Jaipur Chaat Corner,Flavors Jaipur Chaat Corner,1.0,Food & Dining,3.7
Central Emporium near Flavors Jaipur Chaat Corner,Flavors Jaipur Chaat Corner,2.9,Shopping,4.0
Adventure Cliff near Flavors Jaipur Chaat Corner,Flavors Jaipur Chaat Corner,2.4,Activity,3.8
Street Diner near Futuristic Planetarium of Jaipur,Futuristic Planetarium of Jaipur,0.1,Food & Dining,3.5
Local Arcade near Futuristic Planetarium of Jaipur,Futuristic Planetarium of Jaipur,3.1,Shopping,4.3
Heritage Walk near Futuristic Planetarium of Jaipur,Futuristic Planetarium of Jaipur,0.6,Viewpoint,4.6
Street Kitchen near Jaipur Emerald Sunset Point,Jaipur Emerald Sunset Point,1.2,Food & Dining,4.0
Local Bazaar near Jaipur Emerald Sunset Point,Jaipur Emerald Sunset Point,2.1,Shopping,3.8
Sunset Deck near Jaipur Emerald Sunset Point,Jaipur Emerald Sunset Point,3.4,Activity,3.5
Chai Villa Spot near Victorian Jaipur Gateway,Victorian Jaipur Gateway,2.0,Food & Dining,3.9
Ethnic Hub near Victorian Jaipur Gateway,Victorian Jaipur Gateway,0.7,Shopping,4.2
Local Market Corner near Victorian Jaipur Gateway,Victorian Jaipur Gateway,0.6,Local Market,3.6
Bistro Cafe near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,0.9,Food & Dining,4.8
Artisans Flea Market near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,0.7,Shopping,4.4
Local Market Corner near Tranquil Temple of Jaipur,Tranquil Temple of Jaipur,0.5,Local Market,4.9
Street Diner near Jaipur Extreme Zip-line Valley,Jaipur Extreme Zip-line Valley,2.1,Food & Dining,4.7
Central Hub near Jaipur Extreme Zip-line Valley,Jaipur Extreme Zip-line Valley,0.3,Shopping,4.1
Local Market Corner near Jaipur Extreme Zip-line Valley,Jaipur Extreme Zip-line Valley,2.2,Local Market,4.2
Laziz Bakery near Legacy Jaipur Heritage Craft Complex,Legacy Jaipur Heritage Craft Complex,1.2,Food & Dining,4.6
Central Hub near Legacy Jaipur Heritage Craft Complex,Legacy Jaipur Heritage Craft Complex,0.9,Shopping,4.3
Transit Corner near Legacy Jaipur Heritage Craft Complex,Legacy Jaipur Heritage Craft Complex,4.0,Transit,4.7
Street Kitchen near Hidden Beach of Udaipur,Hidden Beach of Udaipur,1.6,Food & Dining,4.2
Artisans Bazaar near Hidden Beach of Udaipur,Hidden Beach of Udaipur,0.5,Shopping,3.5
Transit Corner near Hidden Beach of Udaipur,Hidden Beach of Udaipur,3.2,Transit,4.9
Street Cafe near Udaipur Imperial Tomb,Udaipur Imperial Tomb,0.8,Food & Dining,3.5
Bustling Bazaar near Udaipur Imperial Tomb,Udaipur Imperial Tomb,0.4,Shopping,3.8
Local Market Corner near Udaipur Imperial Tomb,Udaipur Imperial Tomb,3.2,Local Market,4.5
Bistro Chaat Bhandar near Holy Udaipur Ashram,Holy Udaipur Ashram,1.9,Food & Dining,3.6
Handicrafts Cooperative near Holy Udaipur Ashram,Holy Udaipur Ashram,0.5,Shopping,4.2
Local Market Corner near Holy Udaipur Ashram,Holy Udaipur Ashram,3.9,Local Market,4.7
Laziz Dhaba near Summit Rafting Camp of Udaipur,Summit Rafting Camp of Udaipur,1.3,Food & Dining,4.7
Ethnic Bazaar near Summit Rafting Camp of Udaipur,Summit Rafting Camp of Udaipur,3.2,Shopping,4.5
Boating Lake near Summit Rafting Camp of Udaipur,Summit Rafting Camp of Udaipur,1.1,Viewpoint,4.1
Annapurna Corner near Udaipur Legacy Amphitheatre,Udaipur Legacy Amphitheatre,0.2,Food & Dining,3.6
Handicrafts Market near Udaipur Legacy Amphitheatre,Udaipur Legacy Amphitheatre,3.2,Shopping,4.6
Photography Spot near Udaipur Legacy Amphitheatre,Udaipur Legacy Amphitheatre,2.9,Activity,4.7
Desi Diner near Royal Udaipur Emporium,Royal Udaipur Emporium,0.1,Food & Dining,4.0
Bustling Cooperative near Royal Udaipur Emporium,Royal Udaipur Emporium,2.2,Shopping,4.7
Hiking Point near Royal Udaipur Emporium,Royal Udaipur Emporium,4.2,Activity,3.7
Desi Spot near Traditional Dhaba Zone of Udaipur,Traditional Dhaba Zone of Udaipur,0.3,Food & Dining,4.6
Artisans Flea Market near Traditional Dhaba Zone of Udaipur,Traditional Dhaba Zone of Udaipur,3.0,Shopping,4.2
Heritage Walk near Traditional Dhaba Zone of Udaipur,Traditional Dhaba Zone of Udaipur,0.8,Viewpoint,4.1
Royal Corner near Udaipur Cosmo Aquarium,Udaipur Cosmo Aquarium,2.3,Food & Dining,4.2
Artisans Market near Udaipur Cosmo Aquarium,Udaipur Cosmo Aquarium,1.6,Shopping,3.7
Cable Car Station near Udaipur Cosmo Aquarium,Udaipur Cosmo Aquarium,0.4,Activity,4.7
Cafe Spot near Whispering Udaipur Wildlife Reserve,Whispering Udaipur Wildlife Reserve,2.1,Food & Dining,4.6
Artisans Arcade near Whispering Udaipur Wildlife Reserve,Whispering Udaipur Wildlife Reserve,1.3,Shopping,4.8
Local Market Corner near Whispering Udaipur Wildlife Reserve,Whispering Udaipur Wildlife Reserve,4.5,Local Market,3.7
The Spicy Bakery near Royal Palace of Udaipur,Royal Palace of Udaipur,1.7,Food & Dining,4.6
Traditional Corner near Royal Palace of Udaipur,Royal Palace of Udaipur,2.3,Shopping,3.6
Transit Corner near Royal Palace of Udaipur,Royal Palace of Udaipur,4.7,Transit,4.4
Cafe Dhaba near Udaipur Holy Ashram,Udaipur Holy Ashram,2.5,Food & Dining,3.7
Local Corner near Udaipur Holy Ashram,Udaipur Holy Ashram,2.3,Shopping,3.7
Sunset Deck near Udaipur Holy Ashram,Udaipur Holy Ashram,4.7,Viewpoint,3.8
The Spicy Cafe near Summit Udaipur Camping Ridge,Summit Udaipur Camping Ridge,1.6,Food & Dining,3.9
Bustling Hub near Summit Udaipur Camping Ridge,Summit Udaipur Camping Ridge,3.3,Shopping,4.6
Adventure Cliff near Summit Udaipur Camping Ridge,Summit Udaipur Camping Ridge,0.3,Viewpoint,3.5
The Spicy Point near Creative Cultural Theatre of Udaipur,Creative Cultural Theatre of Udaipur,1.6,Food & Dining,4.4
Handicrafts Flea Market near Creative Cultural Theatre of Udaipur,Creative Cultural Theatre of Udaipur,0.5,Shopping,4.2
Transit Corner near Creative Cultural Theatre of Udaipur,Creative Cultural Theatre of Udaipur,2.3,Transit,4.6
Street Spot near Udaipur Local Spices Corner,Udaipur Local Spices Corner,0.8,Food & Dining,4.7
Local Hub near Udaipur Local Spices Corner,Udaipur Local Spices Corner,2.0,Shopping,4.1
Hiking Point near Udaipur Local Spices Corner,Udaipur Local Spices Corner,0.5,Viewpoint,4.8
Chai Villa Corner near Savory Udaipur Sweet Alley,Savory Udaipur Sweet Alley,1.1,Food & Dining,3.5
Artisans Cooperative near Savory Udaipur Sweet Alley,Savory Udaipur Sweet Alley,1.5,Shopping,4.1
Transit Corner near Savory Udaipur Sweet Alley,Savory Udaipur Sweet Alley,1.1,Transit,4.1
Royal Corner near Apex Amusement Park of Udaipur,Apex Amusement Park of Udaipur,2.1,Food & Dining,4.8
Souvenir Market near Apex Amusement Park of Udaipur,Apex Amusement Park of Udaipur,3.2,Shopping,4.3
Local Market Corner near Apex Amusement Park of Udaipur,Apex Amusement Park of Udaipur,3.9,Local Market,4.2
Bistro Spot near Udaipur Golden Lake,Udaipur Golden Lake,2.1,Food & Dining,4.3
Souvenir Arcade near Udaipur Golden Lake,Udaipur Golden Lake,2.3,Shopping,4.6
Local Market Corner near Udaipur Golden Lake,Udaipur Golden Lake,4.5,Local Market,4.0
Street Diner near Historic Udaipur Heritage Centre,Historic Udaipur Heritage Centre,0.7,Food & Dining,4.6
Bustling Market near Historic Udaipur Heritage Centre,Historic Udaipur Heritage Centre,1.3,Shopping,3.8
Transit Corner near Historic Udaipur Heritage Centre,Historic Udaipur Heritage Centre,2.6,Transit,4.4
Royal Bakery near Holy Ashram of Udaipur,Holy Ashram of Udaipur,2.3,Food & Dining,4.1
Central Emporium near Holy Ashram of Udaipur,Holy Ashram of Udaipur,3.3,Shopping,4.5
Transit Corner near Holy Ashram of Udaipur,Holy Ashram of Udaipur,3.8,Transit,4.1
Cafe Spot near Udaipur Summit Paragliding Launch,Udaipur Summit Paragliding Launch,1.9,Food & Dining,4.2
Souvenir Emporium near Udaipur Summit Paragliding Launch,Udaipur Summit Paragliding Launch,1.8,Shopping,3.9
Local Market Corner near Udaipur Summit Paragliding Launch,Udaipur Summit Paragliding Launch,4.8,Local Market,4.5
Cafe Spot near Folk Udaipur Traditional Bazaar,Folk Udaipur Traditional Bazaar,1.7,Food & Dining,3.8
Handicrafts Bazaar near Folk Udaipur Traditional Bazaar,Folk Udaipur Traditional Bazaar,0.7,Shopping,3.6
Local Market Corner near Folk Udaipur Traditional Bazaar,Folk Udaipur Traditional Bazaar,1.4,Local Market,4.1
Desi Spot near Traditional Flea Market of Udaipur,Traditional Flea Market of Udaipur,1.0,Food & Dining,4.8
Local Flea Market near Traditional Flea Market of Udaipur,Traditional Flea Market of Udaipur,0.7,Shopping,3.8
Local Market Corner near Traditional Flea Market of Udaipur,Traditional Flea Market of Udaipur,3.6,Local Market,3.8
Bistro Chaat Bhandar near Udaipur Authentic Food Street,Udaipur Authentic Food Street,1.3,Food & Dining,3.7
Local Cooperative near Udaipur Authentic Food Street,Udaipur Authentic Food Street,2.9,Shopping,4.5
Local Market Corner near Udaipur Authentic Food Street,Udaipur Authentic Food Street,1.7,Local Market,4.9
Royal Dhaba near Tech Udaipur Botanical Conservatory,Tech Udaipur Botanical Conservatory,2.4,Food & Dining,4.9
Handicrafts Market near Tech Udaipur Botanical Conservatory,Tech Udaipur Botanical Conservatory,0.9,Shopping,4.6
Transit Corner near Tech Udaipur Botanical Conservatory,Tech Udaipur Botanical Conservatory,3.2,Transit,3.6
Desi Diner near Scenic Beach of Udaipur,Scenic Beach of Udaipur,2.3,Food & Dining,4.4
Bustling Bazaar near Scenic Beach of Udaipur,Scenic Beach of Udaipur,0.5,Shopping,3.9
Boating Lake near Scenic Beach of Udaipur,Scenic Beach of Udaipur,4.6,Activity,4.0
Gourmet Diner near Udaipur Sovereign Memorial,Udaipur Sovereign Memorial,1.6,Food & Dining,4.7
Central Market near Udaipur Sovereign Memorial,Udaipur Sovereign Memorial,1.4,Shopping,4.3
Boating Lake near Udaipur Sovereign Memorial,Udaipur Sovereign Memorial,0.8,Viewpoint,4.3
Bistro Kitchen near Holy Udaipur Ashram,Holy Udaipur Ashram,0.2,Food & Dining,4.6
Artisans Flea Market near Holy Udaipur Ashram,Holy Udaipur Ashram,3.2,Shopping,4.1
Local Market Corner near Holy Udaipur Ashram,Holy Udaipur Ashram,0.4,Local Market,4.8
Desi Treats near Summit Climbing Wall of Udaipur,Summit Climbing Wall of Udaipur,0.4,Food & Dining,4.6
Ethnic Bazaar near Summit Climbing Wall of Udaipur,Summit Climbing Wall of Udaipur,2.4,Shopping,4.3
Hiking Point near Summit Climbing Wall of Udaipur,Summit Climbing Wall of Udaipur,0.4,Activity,4.4
Chai Villa Spot near Udaipur Artistic Amphitheatre,Udaipur Artistic Amphitheatre,0.6,Food & Dining,3.5
Bustling Hub near Udaipur Artistic Amphitheatre,Udaipur Artistic Amphitheatre,0.9,Shopping,4.5
Transit Corner near Udaipur Artistic Amphitheatre,Udaipur Artistic Amphitheatre,1.8,Transit,4.3
Royal Cafe near Bustling Udaipur Market,Bustling Udaipur Market,1.6,Food & Dining,4.4
Handicrafts Emporium near Bustling Udaipur Market,Bustling Udaipur Market,1.5,Shopping,3.8
Photography Spot near Bustling Udaipur Market,Bustling Udaipur Market,4.0,Viewpoint,4.1
Annapurna Diner near Culinary Spice Lane of Udaipur,Culinary Spice Lane of Udaipur,0.3,Food & Dining,3.8
Handicrafts Hub near Culinary Spice Lane of Udaipur,Culinary Spice Lane of Udaipur,1.3,Shopping,4.6
Transit Corner near Culinary Spice Lane of Udaipur,Culinary Spice Lane of Udaipur,4.9,Transit,3.9
Chai Villa Treats near Udaipur Infinity Science Arena,Udaipur Infinity Science Arena,1.1,Food & Dining,4.8
Local Flea Market near Udaipur Infinity Science Arena,Udaipur Infinity Science Arena,0.3,Shopping,4.0
Local Market Corner near Udaipur Infinity Science Arena,Udaipur Infinity Science Arena,3.7,Local Market,4.8
Chai Villa Point near Cloudy Udaipur Wildlife Reserve,Cloudy Udaipur Wildlife Reserve,1.3,Food & Dining,3.8
Ethnic Cooperative near Cloudy Udaipur Wildlife Reserve,Cloudy Udaipur Wildlife Reserve,1.8,Shopping,4.4
Heritage Walk near Cloudy Udaipur Wildlife Reserve,Cloudy Udaipur Wildlife Reserve,4.5,Viewpoint,4.8
Cafe Bakery near Grand Castle of Udaipur,Grand Castle of Udaipur,0.8,Food & Dining,4.2
Central Corner near Grand Castle of Udaipur,Grand Castle of Udaipur,1.8,Shopping,3.9
Transit Corner near Grand Castle of Udaipur,Grand Castle of Udaipur,4.0,Transit,3.7
Chai Villa Kitchen near Udaipur Holy Ashram,Udaipur Holy Ashram,2.1,Food & Dining,4.1
Local Emporium near Udaipur Holy Ashram,Udaipur Holy Ashram,3.3,Shopping,3.9
Local Market Corner near Udaipur Holy Ashram,Udaipur Holy Ashram,3.5,Local Market,3.5
Chai Villa Treats near Summit Udaipur Safari Zone,Summit Udaipur Safari Zone,0.4,Food & Dining,3.5
Souvenir Cooperative near Summit Udaipur Safari Zone,Summit Udaipur Safari Zone,0.6,Shopping,4.5
Transit Corner near Summit Udaipur Safari Zone,Summit Udaipur Safari Zone,2.3,Transit,4.0
Chai Villa Kitchen near Indigenous Cultural Theatre of Udaipur,Indigenous Cultural Theatre of Udaipur,0.6,Food & Dining,4.5
Handicrafts Arcade near Indigenous Cultural Theatre of Udaipur,Indigenous Cultural Theatre of Udaipur,1.7,Shopping,4.3
Transit Corner near Indigenous Cultural Theatre of Udaipur,Indigenous Cultural Theatre of Udaipur,2.1,Transit,3.7
Bistro Corner near Udaipur Vibrant Shopping Arcade,Udaipur Vibrant Shopping Arcade,0.5,Food & Dining,4.6
Central Arcade near Udaipur Vibrant Shopping Arcade,Udaipur Vibrant Shopping Arcade,2.8,Shopping,4.7
Hiking Point near Udaipur Vibrant Shopping Arcade,Udaipur Vibrant Shopping Arcade,3.7,Activity,4.4
Royal Kitchen near Delight Udaipur Gourmet Court,Delight Udaipur Gourmet Court,1.9,Food & Dining,4.8
Traditional Emporium near Delight Udaipur Gourmet Court,Delight Udaipur Gourmet Court,3.1,Shopping,4.0
Cable Car Station near Delight Udaipur Gourmet Court,Delight Udaipur Gourmet Court,4.2,Viewpoint,4.2
Annapurna Diner near Metro Sky Deck of Udaipur,Metro Sky Deck of Udaipur,0.5,Food & Dining,4.0
Souvenir Arcade near Metro Sky Deck of Udaipur,Metro Sky Deck of Udaipur,2.0,Shopping,4.6
Boating Lake near Metro Sky Deck of Udaipur,Metro Sky Deck of Udaipur,1.3,Activity,3.6
The Spicy Diner near Udaipur Hidden Lake,Udaipur Hidden Lake,1.2,Food & Dining,3.7
Central Flea Market near Udaipur Hidden Lake,Udaipur Hidden Lake,1.4,Shopping,3.8
Walkway Park near Udaipur Hidden Lake,Udaipur Hidden Lake,4.1,Viewpoint,4.4
The Spicy Kitchen near Victorian Udaipur Tomb,Victorian Udaipur Tomb,0.3,Food & Dining,4.1
Souvenir Corner near Victorian Udaipur Tomb,Victorian Udaipur Tomb,0.9,Shopping,4.1
Transit Corner near Victorian Udaipur Tomb,Victorian Udaipur Tomb,0.6,Transit,4.9
